name,hof_class,year_drafted,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
A.C. Green,0.0,1985,82,18.8,6.4,2.5,4.7,53.9,0.0,0.1,16.7,1.2,2.0,61.1,2.0,2.7,4.6,0.7,0.6,0.6,1.2,8.7
A.J. English,0.0,1990,70,20.6,8.8,3.6,8.2,43.9,0.0,0.4,9.7,1.6,2.2,70.7,0.9,1.2,2.1,2.5,0.4,0.2,1.6,7.1
A.J. Price,0.0,2009,56,15.4,7.3,2.6,6.3,41.0,1.1,3.1,34.5,1.1,1.3,80.0,0.2,1.4,1.6,1.9,0.6,0.1,1.1,6.4
Aaron Brooks,0.0,2007,51,11.9,5.2,1.8,4.4,41.3,0.7,2.1,33.0,0.8,1.0,85.7,0.3,0.8,1.1,1.7,0.3,0.1,0.9,4.7
Aaron Gordon,0.0,2014,47,17.0,5.2,2.0,4.4,44.7,0.3,1.0,27.1,0.9,1.3,72.1,1.0,2.6,3.6,0.7,0.5,0.5,0.8,6.8
Aaron Gray,0.0,2007,61,10.0,4.3,1.7,3.3,50.5,0.0,0.0,0.0,0.9,1.6,56.6,1.1,1.6,2.8,0.7,0.3,0.3,0.9,5.0
Aaron McKie,0.0,1994,45,18.4,6.5,2.6,5.8,44.4,0.2,0.6,39.3,1.1,1.6,68.5,0.8,2.1,2.9,2.0,0.8,0.4,0.9,7.9
Acie Earl,0.0,1993,74,15.5,5.5,2.0,5.0,40.6,0.0,0.0,0.0,1.5,2.2,67.5,1.1,2.2,3.3,0.2,0.3,0.7,1.0,5.4
Acie Law,0.0,2007,56,15.4,4.2,1.7,4.2,40.1,0.1,0.6,20.6,0.7,0.9,79.2,0.2,0.8,1.0,2.0,0.5,0.0,1.0,4.0
Adam Harrington,0.0,2002,19,5.8,1.6,0.6,1.9,29.7,0.3,0.7,35.7,0.2,0.2,75.0,0.1,0.4,0.4,0.6,0.1,0.1,0.1,1.3
Adam Keefe,0.0,1992,82,18.9,6.6,2.3,4.6,50.0,0.0,0.0,0.0,2.0,2.9,70.0,2.1,3.2,5.3,1.0,0.7,0.2,1.2,9.4
Adam Morrison,0.0,2006,78,29.8,11.8,4.6,12.1,37.6,1.1,3.3,33.7,1.5,2.2,71.0,0.7,2.3,2.9,2.1,0.4,0.1,1.7,7.4
Adonal Foyle,0.0,1997,55,11.9,3.0,1.3,3.1,40.6,0.0,0.0,0.0,0.5,1.1,43.5,1.3,2.0,3.3,0.3,0.2,0.9,0.9,4.4
Adreian Payne,0.0,2014,32,23.1,6.7,2.8,6.9,41.4,0.0,0.3,11.1,0.9,1.4,65.2,1.5,3.6,5.1,0.9,0.6,0.3,1.4,7.6
Adrian Caldwell,0.0,1989,51,6.5,1.9,0.8,1.5,55.3,0.0,0.0,0.0,0.3,0.5,46.4,0.7,1.4,2.1,0.1,0.2,0.3,0.6,3.2
Adrian Griffin,0.0,1999,72,26.8,6.7,2.4,5.7,42.4,0.2,0.8,28.1,1.7,2.2,75.3,1.8,3.4,5.2,2.5,1.6,0.2,1.3,11.0
Al Horford,0.0,2007,81,31.4,10.1,4.1,8.2,49.9,0.0,0.1,0.0,1.9,2.6,73.1,3.1,6.6,9.7,1.5,0.7,0.9,1.7,16.5
Al Jefferson,0.0,2004,71,14.8,6.7,2.7,5.2,52.8,0.0,0.0,0.0,1.2,1.9,63.0,1.7,2.7,4.4,0.3,0.3,0.8,0.9,8.4
Al Thornton,0.0,2007,79,27.3,12.7,4.7,11.0,42.9,0.5,1.6,33.1,2.7,3.6,74.3,1.2,3.3,4.5,1.2,0.6,0.5,1.6,10.8
Alaa Abdelnaby,0.0,1990,43,6.7,3.1,1.3,2.7,47.4,0.0,0.0,0.0,0.6,1.0,56.8,0.6,1.4,2.1,0.3,0.1,0.3,0.5,3.5
Alan Anderson,0.0,2005,36,15.7,5.8,2.1,5.0,41.4,0.7,1.6,41.4,0.9,1.1,80.5,0.6,1.3,1.9,0.9,0.3,0.1,0.9,4.9
Alan Henderson,0.0,1995,79,17.9,6.4,2.4,5.5,44.2,0.0,0.0,0.0,1.5,2.5,59.5,2.1,2.4,4.5,0.6,0.6,0.5,1.1,7.4
Albert King,0.0,1981,76,22.3,12.1,5.1,10.7,48.2,0.0,0.2,23.1,1.8,2.3,77.8,1.4,2.7,4.1,1.9,0.8,0.5,2.4,11.0
Alec Burks,0.0,2011,59,15.9,7.2,2.6,6.1,42.9,0.3,0.8,33.3,1.8,2.4,72.7,1.0,1.3,2.2,0.9,0.5,0.1,0.9,5.9
Alec Kessler,0.0,1990,78,16.1,6.2,2.6,6.0,42.5,0.0,0.1,0.0,1.1,1.7,67.2,1.5,2.8,4.3,0.4,0.2,0.3,1.4,6.1
Alex Abrines,0.0,2016,27,13.7,5.6,1.9,4.9,37.9,1.3,3.6,35.1,0.7,0.7,90.0,0.3,0.9,1.2,0.4,0.4,0.1,0.6,3.9
Alex Bradley,0.0,1981,39,8.5,3.5,1.4,2.6,52.4,0.0,0.0,0.0,0.7,1.2,60.4,0.8,0.9,1.7,0.3,0.3,0.1,0.7,3.4
Alex Len,0.0,2013,42,8.6,2.0,0.8,1.9,42.3,0.0,0.0,0.0,0.5,0.7,64.5,0.9,1.4,2.4,0.1,0.1,0.4,0.6,3.1
Alexander Johnson,0.0,2006,59,12.8,4.4,1.5,2.9,53.8,0.0,0.0,0.0,1.3,2.0,66.1,0.8,2.2,3.1,0.3,0.4,0.6,0.8,6.0
Alexander Volkov,0.0,1989,72,13.0,5.0,1.9,3.9,48.2,0.2,0.5,38.2,1.0,1.7,58.3,0.7,0.9,1.7,1.2,0.5,0.3,0.7,5.1
Alexey Shved,0.0,2012,77,23.9,8.6,3.1,8.2,37.2,1.1,3.7,29.5,1.4,1.9,72.0,0.5,1.7,2.3,3.7,0.7,0.3,1.9,8.0
Al-Farouq Aminu,0.0,2010,81,17.9,5.6,2.0,5.0,39.4,0.6,1.8,31.5,1.1,1.5,77.3,0.9,2.4,3.3,0.7,0.7,0.3,1.3,6.1
Alfredrick Hughes,0.0,1985,68,12.7,5.2,2.2,5.5,40.9,0.0,0.3,17.6,0.7,1.2,58.3,0.7,0.9,1.7,0.9,0.4,0.1,0.9,3.6
Allan Houston,0.0,1993,79,19.2,8.5,3.4,8.5,40.5,0.4,1.5,29.9,1.1,1.4,82.4,0.2,1.3,1.5,1.3,0.4,0.2,1.3,5.3
Allan Ray,0.0,2006,47,15.1,6.2,2.1,5.5,38.6,1.0,2.5,41.4,0.9,1.2,76.4,0.4,1.1,1.5,0.9,0.4,0.1,0.9,4.5
Allen Iverson,1.0,1996,76,40.1,23.5,8.2,19.8,41.6,2.0,6.0,34.1,5.0,7.2,70.2,1.5,2.6,4.1,7.5,2.1,0.3,4.4,19.3
Alonzo Mourning,1.0,1992,78,33.9,21.0,7.3,14.3,51.1,0.0,0.0,0.0,6.3,8.1,78.1,3.4,6.9,10.3,1.0,0.3,3.5,3.0,24.3
Alton Ford,0.0,2001,53,8.5,3.1,1.2,2.2,51.7,0.0,0.0,0.0,0.8,1.1,73.7,0.6,1.4,2.0,0.1,0.1,0.1,0.6,3.5
Alton Lister,0.0,1981,80,14.8,4.5,1.9,3.6,51.9,0.0,0.0,0.0,0.8,1.5,52.0,1.4,3.5,4.8,1.1,0.2,1.5,1.6,8.0
Alvin Robertson,0.0,1984,79,21.3,9.2,3.8,7.6,49.8,0.1,0.1,36.4,1.6,2.1,73.4,1.5,1.9,3.4,3.5,1.6,0.3,2.1,11.4
Alvin Williams,0.0,1997,54,19.8,6.0,2.3,5.2,44.3,0.2,0.5,32.1,1.2,1.7,72.2,0.4,1.1,1.5,1.9,0.7,0.1,1.1,5.7
Amar'e Stoudemire,0.0,2002,82,31.3,13.5,4.8,10.1,47.2,0.0,0.1,20.0,3.9,5.9,66.1,3.0,5.7,8.8,1.0,0.8,1.1,2.3,15.4
Anderson Varejao,0.0,2004,54,16.0,4.9,1.8,3.6,51.3,0.0,0.0,0.0,1.3,2.4,53.5,2.0,2.7,4.8,0.5,0.8,0.7,0.5,8.3
Andrae Patterson,0.0,1998,35,8.1,3.3,1.2,2.8,44.3,0.0,0.1,0.0,0.8,1.0,77.8,0.9,1.0,1.9,0.4,0.5,0.2,0.6,3.9
Andre Barrett,0.0,2004,38,12.7,3.1,1.2,3.3,36.3,0.4,1.4,26.9,0.4,0.5,73.7,0.3,0.8,1.1,1.8,0.5,0.0,0.7,3.6
Andre Brown,0.0,2006,38,7.1,2.4,1.1,1.9,56.8,0.0,0.0,0.0,0.2,0.4,60.0,0.7,1.3,1.9,0.1,0.2,0.1,0.8,2.9
Andre Drummond,0.0,2012,60,20.7,7.9,3.5,5.7,60.8,0.0,0.0,50.0,1.0,2.7,37.1,2.8,4.8,7.6,0.5,1.0,1.6,0.9,13.8
Andre Iguodala,0.0,2004,82,32.8,9.0,3.3,6.7,49.3,0.6,1.7,33.1,1.9,2.6,74.3,1.1,4.6,5.7,3.0,1.7,0.6,1.7,14.2
Andre Miller,0.0,1999,82,25.5,11.1,4.1,9.2,44.9,0.1,0.6,20.4,2.8,3.6,77.4,1.0,2.4,3.4,5.8,1.0,0.2,2.0,13.7
Andre Roberson,0.0,2013,40,10.0,1.9,0.8,1.7,48.5,0.1,0.3,15.4,0.2,0.3,70.0,0.9,1.5,2.4,0.4,0.5,0.3,0.5,3.9
Andre Spencer,0.0,1992,20,21.1,9.4,3.7,8.2,44.8,0.0,0.1,0.0,2.1,2.7,75.9,1.9,2.2,4.1,1.2,0.8,0.3,1.3,9.4
Andrea Bargnani,0.0,2006,65,25.1,11.6,4.1,9.6,42.7,1.5,4.1,37.3,1.8,2.2,82.4,0.8,3.1,3.9,0.8,0.5,0.8,1.6,10.0
Andrei Kirilenko,0.0,2001,82,26.2,10.7,3.5,7.7,45.0,0.3,1.2,25.0,3.5,4.5,76.8,1.8,3.1,4.9,1.1,1.4,1.9,1.3,13.5
Andres Nocioni,0.0,2004,81,23.4,8.4,3.0,7.4,40.1,0.3,1.2,25.8,2.1,2.7,76.6,0.9,3.9,4.8,1.5,0.5,0.4,1.7,8.8
Andrew Bogut,0.0,2005,82,28.6,9.4,3.9,7.4,53.3,0.0,0.0,0.0,1.5,2.4,62.9,2.3,4.7,7.0,2.3,0.6,0.8,1.5,14.3
Andrew Bynum,0.0,2005,46,7.3,1.6,0.7,1.8,40.2,0.0,0.0,0.0,0.2,0.6,29.6,0.7,1.0,1.7,0.2,0.1,0.5,0.4,2.3
Andrew Goudelock,0.0,2011,40,10.5,4.4,1.7,4.4,39.1,0.7,1.9,37.3,0.3,0.3,91.7,0.1,0.7,0.8,0.5,0.1,0.0,0.5,2.6
Andrew Harrison,0.0,2016,35,26.9,7.2,2.0,6.7,29.6,0.7,2.8,23.5,2.6,3.4,76.5,0.5,2.0,2.4,3.7,1.1,0.5,1.6,7.9
Andrew Lang,0.0,1988,62,8.5,2.6,1.0,1.9,51.3,0.0,0.0,0.0,0.6,1.0,65.0,0.9,1.5,2.4,0.1,0.3,0.8,0.5,4.4
Andrew Nicholson,0.0,2012,75,16.7,7.8,3.4,6.5,52.7,0.0,0.0,0.0,1.0,1.3,79.8,0.9,2.5,3.4,0.6,0.3,0.4,1.1,8.2
Andrew Toney,0.0,1980,75,23.6,12.9,5.3,10.7,49.5,0.1,0.4,31.0,2.1,3.0,71.2,0.4,1.5,1.9,3.6,0.8,0.1,2.9,10.2
Andrew Wiggins,0.0,2014,82,36.2,16.9,6.1,13.9,43.7,0.5,1.5,31.0,4.3,5.7,76.0,1.6,2.9,4.6,2.1,1.1,0.6,2.2,13.9
Andy Toolson,0.0,1990,47,10.0,2.9,1.1,2.6,40.3,0.3,0.7,37.5,0.5,0.7,75.8,0.7,0.7,1.4,0.7,0.3,0.0,0.5,3.1
Anfernee Hardaway,0.0,1993,82,36.8,16.0,6.2,13.3,46.6,0.6,2.3,26.7,3.0,4.0,74.2,2.3,3.0,5.4,6.6,2.3,0.6,3.6,19.2
Antawn Jamison,0.0,1998,47,22.5,9.6,3.8,8.4,45.2,0.1,0.2,30.0,1.9,3.3,58.8,2.8,3.6,6.4,0.7,0.8,0.3,1.4,10.4
Anthony Avent,0.0,1992,82,27.9,9.8,4.2,9.8,43.3,0.0,0.0,0.0,1.4,2.1,65.1,2.2,4.0,6.2,1.1,0.7,0.9,1.7,10.8
Anthony Bennett,0.0,2013,52,12.8,4.2,1.5,4.3,35.6,0.3,1.0,24.5,0.8,1.3,63.8,0.9,2.0,3.0,0.3,0.4,0.1,0.9,3.9
Anthony Brown,0.0,2015,29,20.7,4.0,1.3,4.3,31.0,0.7,2.4,28.6,0.6,0.7,85.0,0.3,2.1,2.4,0.7,0.5,0.2,0.5,4.1
Anthony Carter,0.0,1999,79,23.5,6.3,2.5,6.4,39.5,0.0,0.3,13.0,1.2,1.6,75.0,0.6,1.9,2.5,4.8,1.2,0.1,2.2,8.4
Anthony Cook,0.0,1990,58,19.3,5.3,2.0,4.9,41.7,0.0,0.1,0.0,1.2,2.2,55.0,2.3,3.3,5.6,0.4,0.6,1.2,0.9,8.5
Anthony Davis,0.0,2012,64,28.8,13.5,5.5,10.6,51.6,0.0,0.1,0.0,2.6,3.5,75.1,2.6,5.6,8.2,1.0,1.2,1.8,1.4,18.2
Anthony Frederick,0.0,1988,46,6.8,3.3,1.4,2.7,50.4,0.0,0.1,40.0,0.5,0.7,70.6,0.6,0.6,1.1,0.4,0.3,0.1,0.7,3.0
Anthony Goldwire,0.0,1995,42,14.8,5.5,1.8,4.5,40.2,0.8,2.0,39.8,1.1,1.4,76.7,0.2,0.8,1.0,2.7,0.4,0.0,1.5,5.0
Anthony Johnson,0.0,1997,77,29.4,7.5,2.9,7.9,37.1,0.5,1.7,32.8,1.0,1.4,72.7,0.7,1.6,2.2,4.3,0.8,0.1,1.6,7.9
Anthony Jones,0.0,1986,65,13.2,5.0,2.0,5.0,41.3,0.1,0.3,35.0,0.8,1.0,76.9,0.6,1.0,1.6,1.1,0.7,0.3,0.8,4.7
Anthony Miller,0.0,1994,46,11.5,4.1,1.5,2.9,53.0,0.0,0.1,40.0,1.0,1.7,61.8,1.5,1.8,3.3,0.8,0.4,0.1,0.8,6.0
Anthony Morrow,0.0,2008,67,22.6,10.1,3.8,8.0,47.8,1.3,2.7,46.7,1.2,1.4,87.0,1.2,1.8,3.0,1.2,0.5,0.2,0.8,9.9
Anthony Parker,0.0,1997,37,5.3,1.9,0.7,1.7,39.7,0.2,0.8,32.1,0.4,0.5,65.0,0.2,0.5,0.7,0.5,0.3,0.1,0.3,2.0
Anthony Peeler,0.0,1992,77,21.5,10.4,3.9,8.2,46.8,0.6,1.5,39.0,2.1,2.7,78.6,0.8,1.5,2.3,2.2,0.8,0.2,1.6,9.3
Anthony Randolph,0.0,2008,63,17.9,7.9,3.2,6.8,46.2,0.0,0.1,0.0,1.6,2.2,71.6,2.0,3.7,5.8,0.8,0.7,1.2,1.3,10.7
Anthony Tolliver,0.0,2008,19,10.9,2.7,1.0,3.4,29.2,0.5,2.2,22.0,0.3,0.5,50.0,0.6,1.5,2.2,0.9,0.3,0.1,0.4,3.1
Anthony Tucker,0.0,1994,62,15.8,3.9,1.5,3.4,45.7,0.0,0.0,0.0,0.8,1.3,61.4,0.7,2.0,2.7,1.1,0.7,0.2,0.9,5.4
Antoine Carr,0.0,1984,62,19.3,8.0,3.2,6.0,52.8,0.0,0.1,33.3,1.6,2.1,78.9,1.3,2.5,3.7,1.3,0.5,1.3,1.7,9.8
Antoine Walker,0.0,1996,82,36.2,17.5,7.0,16.5,42.5,0.6,1.9,32.7,2.8,4.5,63.1,3.5,5.5,9.0,3.2,1.3,0.7,2.8,17.7
Antoine Wright,0.0,2005,39,9.5,1.8,0.7,2.1,35.8,0.0,0.4,6.7,0.3,0.6,50.0,0.2,0.6,0.8,0.3,0.1,0.1,0.5,0.9
Antonio Daniels,0.0,1997,74,26.4,7.8,3.1,7.4,41.6,0.1,0.7,21.2,1.5,2.3,65.9,0.3,1.6,1.9,4.5,0.7,0.1,2.2,7.8
Antonio Davis,0.0,1993,81,21.4,7.7,2.7,5.2,50.8,0.0,0.0,0.0,2.4,3.7,64.2,2.3,3.9,6.2,0.7,0.6,1.0,1.3,11.0
Antonio McDyess,0.0,1995,76,30.0,13.4,5.6,11.6,48.5,0.0,0.1,0.0,2.2,3.2,68.3,3.0,4.5,7.5,1.0,0.7,1.5,2.0,15.1
Archie Goodwin,0.0,2013,52,10.3,3.7,1.5,3.2,45.5,0.1,0.7,13.9,0.7,1.1,67.3,0.5,1.2,1.7,0.4,0.4,0.2,0.8,3.4
Armen Gilliam,0.0,1987,55,32.9,14.8,6.2,13.1,47.5,0.0,0.0,0.0,2.4,3.5,67.9,2.4,5.5,7.9,1.3,1.1,0.5,2.2,15.4
Armon Johnson,0.0,2010,38,7.3,2.9,1.2,2.7,45.5,0.1,0.3,41.7,0.3,0.6,59.1,0.3,0.7,0.9,1.2,0.1,0.0,1.0,2.5
Arnett Moultrie,0.0,2012,47,11.5,3.7,1.7,2.9,58.2,0.0,0.0,0.0,0.4,0.6,64.3,1.6,1.5,3.1,0.2,0.4,0.2,0.4,5.8
Arron Afflalo,0.0,2007,75,12.9,3.7,1.3,3.2,41.1,0.1,0.6,20.8,0.9,1.2,78.2,0.5,1.3,1.8,0.7,0.4,0.1,0.5,4.1
Arvydas Sabonis,1.0,1995,73,23.8,14.5,5.4,9.9,54.5,0.5,1.4,37.5,3.2,4.2,75.7,2.0,6.0,8.1,1.8,0.9,1.1,2.1,18.6
Ashraf Amaya,0.0,1995,54,20.4,6.3,2.2,4.7,48.0,0.0,0.0,0.0,1.8,2.8,65.1,2.1,3.5,5.6,0.6,0.4,0.2,1.1,8.6
Austin Daye,0.0,2009,69,13.3,5.1,2.0,4.3,46.4,0.4,1.4,30.5,0.7,0.8,82.1,0.5,2.0,2.5,0.5,0.4,0.4,0.7,5.7
Austin Rivers,0.0,2012,61,23.2,6.2,2.4,6.4,37.2,0.5,1.4,32.6,1.0,1.8,54.6,0.3,1.5,1.8,2.1,0.4,0.1,1.2,4.6
Avery Johnson,0.0,1988,43,6.8,1.6,0.7,1.9,34.9,0.0,0.2,11.1,0.2,0.4,56.3,0.3,0.3,0.6,1.7,0.5,0.1,0.4,2.6
B.J. Armstrong,0.0,1989,81,15.9,5.6,2.3,4.8,48.5,0.0,0.1,50.0,0.9,1.0,88.5,0.2,1.0,1.3,2.5,0.6,0.1,1.0,6.3
B.J. Tyler,0.0,1994,55,14.7,3.5,1.3,3.4,38.1,0.3,0.9,31.4,0.6,0.9,70.0,0.2,0.9,1.1,3.2,0.7,0.0,1.8,4.4
Baron Davis,0.0,1999,82,18.6,5.9,2.2,5.3,42.0,0.3,1.4,22.5,1.2,1.9,63.4,0.6,1.4,2.0,3.8,1.2,0.2,1.7,7.7
Bart Kofoed,0.0,1987,36,6.3,1.3,0.5,1.3,37.5,0.1,0.2,28.6,0.2,0.4,61.5,0.1,0.3,0.4,0.6,0.2,0.0,0.5,1.1
Ben Coleman,0.0,1986,68,15.1,6.6,2.7,4.6,58.1,0.0,0.0,0.0,1.3,1.8,72.7,1.5,2.8,4.2,0.5,0.5,0.5,1.4,8.6
Ben Gordon,0.0,2004,82,24.4,15.1,5.3,12.9,41.1,1.6,4.0,40.5,2.8,3.3,86.3,0.7,2.0,2.6,2.0,0.7,0.1,2.3,10.1
Ben McLemore,0.0,2013,82,26.7,8.8,3.1,8.3,37.6,1.2,3.6,32.0,1.4,1.7,80.4,0.6,2.2,2.9,1.0,0.6,0.2,1.2,6.7
Ben Uzoh,0.0,2010,42,10.4,3.8,1.5,3.4,42.4,0.1,0.2,37.5,0.8,1.3,58.9,0.7,0.7,1.5,1.6,0.3,0.2,0.6,4.2
Beno Udrih,0.0,2004,80,14.4,5.9,2.2,4.9,44.4,0.7,1.8,40.8,0.8,1.1,75.3,0.2,0.8,1.0,1.9,0.5,0.1,1.0,5.5
Benoit Benjamin,0.0,1985,79,26.4,11.1,4.1,8.4,49.0,0.0,0.0,33.3,2.9,3.9,74.6,2.0,5.6,7.6,1.0,0.8,2.6,1.8,16.0
Bernard James,0.0,2012,46,9.9,2.8,1.2,2.2,51.5,0.0,0.0,0.0,0.5,0.9,61.0,1.1,1.7,2.8,0.1,0.3,0.8,0.4,5.1
Bernard Thompson,0.0,1984,59,9.1,3.3,1.3,3.6,37.3,0.0,0.1,0.0,0.7,0.9,76.5,0.6,0.7,1.3,0.9,0.5,0.2,0.6,3.2
Bill Curley,0.0,1994,53,11.2,2.7,1.1,2.5,43.3,0.0,0.0,0.0,0.5,0.7,75.0,1.0,1.3,2.3,0.5,0.4,0.4,0.5,4.2
Bill Garnett,0.0,1982,75,18.8,6.3,2.3,4.3,53.3,0.0,0.0,0.0,1.7,2.3,74.1,1.9,3.5,5.4,1.4,0.6,0.9,1.1,10.9
Bill Hanzlik,0.0,1980,74,17.0,5.4,1.9,3.9,47.8,0.0,0.1,20.0,1.6,2.0,79.3,0.9,1.2,2.1,1.5,0.8,0.3,1.1,6.4
Bill Jones,0.0,1988,37,8.3,3.5,1.4,2.8,49.0,0.0,0.0,0.0,0.8,1.2,67.4,0.5,0.7,1.3,0.5,0.5,0.2,0.5,3.6
Bill Laimbeer,0.0,1980,81,30.4,9.8,4.2,8.3,50.3,0.0,0.0,0.0,1.4,1.9,76.5,3.3,5.3,8.6,2.7,0.7,1.0,1.6,16.5
Bill Martin,0.0,1985,66,10.5,5.0,2.2,4.5,48.0,0.0,0.1,0.0,0.7,0.8,85.2,0.6,0.9,1.5,0.8,0.3,0.1,0.9,4.4
Bill Wennington,0.0,1985,56,10.0,3.4,1.3,2.7,47.1,0.0,0.1,0.0,0.8,1.1,72.6,0.6,1.8,2.4,0.4,0.2,0.4,0.4,4.6
Billy Donovan,0.0,1987,44,8.3,2.4,1.0,2.5,40.4,0.0,0.2,0.0,0.4,0.5,81.0,0.1,0.5,0.6,2.0,0.4,0.0,0.9,2.8
Billy Owens,0.0,1991,80,31.4,14.3,5.9,11.1,52.5,0.0,0.1,11.1,2.6,3.9,65.4,3.0,5.0,8.0,2.4,1.1,0.8,2.2,17.7
Billy Reid,0.0,1980,59,10.1,3.2,1.4,3.1,45.4,0.0,0.1,0.0,0.4,0.7,56.4,0.5,0.6,1.0,1.2,0.6,0.1,1.3,2.8
Billy Thomas,0.0,2004,25,14.2,3.7,1.4,3.8,36.2,0.7,2.2,30.4,0.3,0.4,77.8,0.3,1.2,1.4,0.7,0.6,0.0,0.4,3.6
Billy Thompson,0.0,1986,59,12.9,5.6,2.4,4.4,54.4,0.0,0.0,0.0,0.8,1.3,64.9,1.2,1.7,2.9,1.0,0.3,0.5,1.0,6.8
Bimbo Coles,0.0,1990,82,16.5,4.9,2.0,4.8,41.2,0.1,0.4,17.6,0.9,1.2,74.7,0.7,1.2,1.9,2.8,0.8,0.1,1.2,6.2
Bismack Biyombo,0.0,2011,63,23.1,5.2,2.0,4.4,46.4,0.0,0.0,0.0,1.1,2.3,48.3,1.8,4.0,5.8,0.4,0.3,1.8,1.1,8.9
Bison Dele,0.0,1991,48,18.9,9.1,3.6,6.8,52.8,0.0,0.0,0.0,2.0,3.0,66.9,2.4,3.3,5.7,0.7,0.8,1.1,1.8,11.5
Blair Rasmussen,0.0,1985,48,6.9,3.2,1.3,3.1,40.7,0.0,0.0,0.0,0.6,0.8,79.5,0.8,1.3,2.0,0.3,0.1,0.2,0.8,3.0
Blake Griffin,0.0,2010,82,38.0,22.5,8.5,16.8,50.6,0.1,0.3,29.2,5.4,8.5,64.2,3.3,8.8,12.1,3.8,0.8,0.6,2.7,25.6
Blue Edwards,0.0,1989,82,23.0,8.9,3.5,6.9,50.7,0.1,0.4,30.0,1.8,2.5,71.9,0.8,2.2,3.1,1.8,0.9,0.4,1.9,9.1
Bo Kimble,0.0,1990,62,16.2,6.9,2.6,6.7,38.0,0.3,1.0,29.2,1.5,1.9,77.3,0.7,1.2,1.9,1.2,0.5,0.1,1.2,4.8
Bo Outlaw,0.0,1993,37,23.5,6.9,2.6,4.5,58.7,0.0,0.1,0.0,1.6,2.8,59.2,2.2,3.5,5.7,1.0,1.0,1.0,0.8,11.8
Bob Hansen,0.0,1983,55,7.6,2.7,1.2,2.6,44.8,0.0,0.1,0.0,0.3,0.5,64.3,0.2,0.6,0.9,0.8,0.3,0.1,0.6,2.4
Bob Martin,0.0,1993,53,10.1,2.1,0.8,1.7,45.5,0.0,0.0,0.0,0.6,1.0,60.8,0.7,1.5,2.2,0.3,0.1,0.6,0.6,3.6
Bob Sura,0.0,1995,79,14.6,5.3,1.9,4.6,41.1,0.3,1.0,34.6,1.3,1.8,70.2,0.4,1.3,1.7,2.9,0.7,0.3,1.5,6.3
Bob Thornton,0.0,1985,71,18.6,4.7,1.8,3.9,45.6,0.0,0.0,0.0,1.2,2.3,53.1,1.6,2.5,4.1,0.6,0.4,0.1,1.2,5.6
Bobby Brown,0.0,2008,68,13.7,5.3,2.1,5.3,39.2,0.7,1.9,34.6,0.5,0.6,79.1,0.2,0.6,0.8,1.7,0.3,0.0,0.9,3.9
Bobby Cattage,0.0,1981,49,6.9,3.1,1.2,2.8,44.4,0.0,0.0,0.0,0.6,0.8,73.2,0.4,1.0,1.5,0.1,0.1,0.0,0.4,2.7
Bobby Jackson,0.0,1997,68,30.0,11.6,4.6,11.6,39.2,0.3,1.2,25.9,2.2,2.7,81.4,1.1,3.3,4.4,4.7,1.5,0.2,2.7,12.1
Bobby Portis,0.0,2015,62,17.8,7.0,3.0,7.0,42.7,0.3,0.8,30.8,0.8,1.1,72.7,2.0,3.5,5.4,0.8,0.4,0.3,0.9,8.9
Bojan Bogdanovic,0.0,2014,78,23.8,9.0,3.3,7.4,45.3,1.2,3.3,35.5,1.1,1.4,82.1,0.6,2.1,2.7,0.9,0.4,0.1,1.0,7.8
Boris Diaw,0.0,2003,76,25.3,4.5,1.8,4.1,44.7,0.1,0.3,23.1,0.7,1.2,60.2,1.5,3.0,4.5,2.4,0.8,0.5,1.7,8.2
Brad Daugherty,0.0,1986,80,33.7,15.7,6.1,11.3,53.8,0.0,0.0,0.0,3.5,5.0,69.6,1.9,6.2,8.1,3.8,0.6,0.8,3.1,19.1
Brad Lohaus,0.0,1987,70,10.3,4.2,1.7,3.5,49.6,0.0,0.2,23.1,0.7,0.9,80.6,0.7,1.3,2.0,0.7,0.3,0.6,0.8,5.0
Brad Miller,0.0,1998,38,12.3,6.3,2.1,3.6,56.5,0.0,0.1,50.0,2.1,2.7,79.4,0.9,2.2,3.1,0.6,0.2,0.5,0.8,7.7
Brad Sellers,0.0,1986,80,21.9,8.5,3.5,7.6,45.5,0.0,0.1,20.0,1.6,2.2,72.8,1.9,2.7,4.7,1.3,0.6,0.8,1.1,10.1
Bradley Beal,0.0,2012,56,31.2,13.9,5.0,12.3,41.0,1.6,4.2,38.6,2.2,2.8,78.6,0.8,3.0,3.8,2.4,0.9,0.5,1.6,12.1
Brandan Wright,0.0,2007,38,9.9,4.0,1.6,2.9,55.4,0.0,0.0,0.0,0.7,1.1,67.5,1.0,1.6,2.6,0.2,0.2,0.6,0.3,5.6
Brandon Armstrong,0.0,2001,35,5.6,1.8,0.8,2.4,31.8,0.1,0.5,29.4,0.1,0.3,50.0,0.3,0.2,0.5,0.2,0.2,0.0,0.2,0.7
Brandon Davies,0.0,2013,51,11.3,2.8,1.1,2.5,42.2,0.0,0.2,20.0,0.7,1.0,64.2,0.7,1.4,2.1,0.5,0.5,0.2,0.7,3.6
